Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
1		100		100		0.0283		0.1351		1
1		200		200		0.0247		0.0281		1
1		300		300		0.0100		0.0097		1
1		400		400		0.0184		0.0088		1
1		500		500		0.0106		0.0080		1
1		600		600		0.0137		0.0342		1
1		700		700		0.0129		0.0140		1
1		800		800		0.0143		0.0029		1
1		900		900		0.0122		0.0090		1
1		1000		1000		0.0063		0.0020		1
1		1100		1100		0.0167		0.0245		1
1		1200		1200		0.0074		0.0110		1
1		1300		1300		0.0118		0.0400		1
1		1400		1400		0.0097		0.0367		1
1		1500		1500		0.0107		0.0067		1
1		1600		1600		0.0184		0.0138		1
1		1700		1700		0.0179		0.0246		1
1		1800		1800		0.0103		0.0008		1
1		1900		1900		0.0085		0.0130		1
1		2000		2000		0.0100		0.0248		1
1		2100		2100		0.0092		0.0042		1
1		2200		2200		0.0135		0.0028		1
1		2300		2300		0.0146		0.0094		1
2		44		2400		0.0231		0.0061		1
2		144		2500		0.0151		0.0121		1
2		244		2600		0.0084		0.0019		1
2		344		2700		0.0116		0.0028		1
2		444		2800		0.0195		0.0091		1
2		544		2900		0.0114		0.0230		1
2		644		3000		0.0099		0.0036		1
2		744		3100		0.0078		0.0007		1
2		844		3200		0.0077		0.0290		1
2		944		3300		0.0114		0.0131		1
2		1044		3400		0.0075		0.0070		1
2		1144		3500		0.0088		0.0020		1
2		1244		3600		0.0122		0.0103		1
2		1344		3700		0.0110		0.0404		1
2		1444		3800		0.0104		0.0772		1
2		1544		3900		0.0073		0.0036		1
2		1644		4000		0.0120		0.0014		1
2		1744		4100		0.0112		0.0239		1
2		1844		4200		0.0121		0.0020		1
2		1944		4300		0.0111		0.0044		1
2		2044		4400		0.0114		0.0138		1
2		2144		4500		0.0087		0.0038		1
2		2244		4600		0.0118		0.0030		1
2		2344		4700		0.0111		0.0427		1
3		88		4800		0.0086		0.0023		1
3		188		4900		0.0103		0.0007		1
3		288		5000		0.0105		0.0276		1
3		388		5100		0.0094		0.0019		1
3		488		5200		0.0078		0.0073		1
3		588		5300		0.0092		0.0308		1
3		688		5400		0.0109		0.0365		1
3		788		5500		0.0065		0.0017		1
3		888		5600		0.0099		0.0015		1
3		988		5700		0.0110		0.0063		1
3		1088		5800		0.0110		0.0614		1
3		1188		5900		0.0094		0.0016		1
3		1288		6000		0.0073		0.0025		1
3		1388		6100		0.0283		0.0393		1
3		1488		6200		0.0136		0.0114		1
3		1588		6300		0.0160		0.0098		1
3		1688		6400		0.0150		0.0135		1
3		1788		6500		0.0085		0.0028		1
3		1888		6600		0.0094		0.0019		1
3		1988		6700		0.0099		0.0181		1
3		2088		6800		0.0112		0.0688		1
3		2188		6900		0.0078		0.0038		1
3		2288		7000		0.0101		0.0023		1
4		32		7100		0.0172		0.0117		1
4		32		7100		0.0272		0.0514		1
4		132		7200		0.0162		0.0185		1
4		232		7300		0.0135		0.0130		1
4		332		7400		0.0090		0.0108		1
4		432		7500		0.0079		0.0111		1
4		532		7600		0.0106		0.0626		1
4		632		7700		0.0208		0.0782		1
4		732		7800		0.0091		0.0036		1
4		832		7900		0.0100		0.0060		1
4		932		8000		0.0096		0.0074		1
4		1032		8100		0.0150		0.0643		1
4		1132		8200		0.0115		0.0081		1
4		1232		8300		0.0132		0.0036		1
4		1332		8400		0.0115		0.0031		1
4		1432		8500		0.0086		0.0021		1
4		1532		8600		0.0106		0.0466		1
4		1632		8700		0.0186		0.0180		1
4		1732		8800		0.0336		0.0019		1
4		1832		8900		0.0103		0.0501		1
4		1932		9000		0.0093		0.0010		1
4		2032		9100		0.0101		0.0445		1
4		2132		9200		0.0160		0.0036		1
4		2232		9300		0.0068		0.0095		1
4		2332		9400		0.0179		0.0316		1
5		76		9500		0.0181		0.0805		1
5		176		9600		0.0070		0.0023		1
5		276		9700		0.0097		0.0025		1
5		376		9800		0.0111		0.0042		1
5		476		9900		0.0160		0.0078		1
5		576		10000		0.0136		0.0019		1
5		676		10100		0.0116		0.0024		1
5		776		10200		0.0130		0.0043		1
5		876		10300		0.0080		0.0008		1
5		976		10400		0.0099		0.0031		1
5		1076		10500		0.0145		0.0248		1
5		1176		10600		0.0088		0.0044		1
5		1276		10700		0.0106		0.0050		1
5		1376		10800		0.0078		0.0264		1
5		1476		10900		0.0085		0.0431		1
5		1576		11000		0.0085		0.0077		1
5		1676		11100		0.0075		0.0221		1
5		1776		11200		0.0127		0.0023		1
5		1876		11300		0.0128		0.0033		1
5		1976		11400		0.0134		0.0021		1
5		2076		11500		0.0173		0.0412		1
5		2176		11600		0.0113		0.0148		1
5		2276		11700		0.0112		0.0019		1
6		20		11800		0.0160		0.0104		1
